date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2018-09-27,sh.600375,4.1600000000,4.1900000000,4.1200000000,4.1400000000,4.1800000000,2984733,12382203.0000,2,0.5370729999999999,1,-0.956937,0,4.153000000000016,0.6987024000000008
2018-09-28,sh.600375,4.1300000000,4.1600000000,4.1200000000,4.1600000000,4.1400000000,2451300,10150828.0000,2,0.441087,1,0.483091,0,4.154000000000016,0.7089464000000009
2018-10-08,sh.600375,4.1200000000,4.1200000000,4.0200000000,4.0600000000,4.1600000000,2708200,10992007.0000,2,0.487314,1,-2.403844,0,4.139000000000015,0.6367923000000009
2018-10-09,sh.600375,4.0500000000,4.0800000000,4.0000000000,4.0400000000,4.0600000000,1970900,7962366.0000,2,0.354644,1,-0.492610,0,4.135000000000016,0.594497400000001
2018-10-10,sh.600375,4.0300000000,4.0600000000,4.0200000000,4.0400000000,4.0400000000,1618500,6535012.0000,2,0.291233,1,0.000000,0,4.126000000000015,0.549748100000001
2018-10-11,sh.600375,3.9500000000,4.0000000000,3.6400000000,3.6600000000,4.0400000000,6468412,24190439.0000,2,1.163926,1,-9.405938,0,4.077000000000016,0.5950176000000009
2018-10-12,sh.600375,3.5800000000,3.6300000000,3.3900000000,3.6000000000,3.6600000000,4519285,15955257.0000,2,0.8132,1,-1.639349,0,4.023000000000016,0.610306800000001
2018-10-15,sh.600375,3.5700000000,3.6300000000,3.5100000000,3.5600000000,3.6000000000,2434674,8713017.0000,2,0.43809499999999996,1,-1.111110,0,3.9600000000000164,0.566807600000001
2018-10-16,sh.600375,3.5400000000,3.5900000000,3.4200000000,3.4400000000,3.5600000000,2303000,8061327.0000,2,0.41440200000000005,1,-3.370784,0,3.8880000000000168,0.556704000000001
2018-10-17,sh.600375,3.5300000000,3.5500000000,3.3800000000,3.4600000000,3.4400000000,2097819,7260711.0000,2,0.37748200000000004,1,0.581395,0,3.8160000000000167,0.5318456000000009
2018-10-18,sh.600375,3.4600000000,3.4600000000,3.2800000000,3.3000000000,3.4600000000,2924100,9839005.0000,2,0.526163,1,-4.624280,0,3.732000000000016,0.530754600000001
2018-10-19,sh.600375,3.2700000000,3.4400000000,3.2200000000,3.4000000000,3.3000000000,3933300,13204058.0000,2,0.707758,1,3.030307,0,3.6560000000000157,0.557421700000001
2018-10-22,sh.600375,3.4500000000,3.6100000000,3.4200000000,3.5700000000,3.4000000000,4651901,16463262.0000,2,0.8370629999999999,1,4.999995,0,3.6070000000000157,0.5923966000000009
2018-10-23,sh.600375,3.5600000000,3.6600000000,3.5300000000,3.5800000000,3.5700000000,4302000,15462561.0000,2,0.7741020000000001,1,0.280112,0,3.5610000000000155,0.6343424000000009
2018-10-24,sh.600375,3.5500000000,3.6300000000,3.5400000000,3.5900000000,3.5800000000,3630600,12991694.0000,2,0.6532899999999999,1,0.279329,0,3.516000000000016,0.6705481000000009
2018-10-25,sh.600375,3.5000000000,3.5900000000,3.4500000000,3.5700000000,3.5900000000,4798101,16940885.0000,2,0.8633709999999999,1,-0.557103,0,3.5070000000000165,0.6404926000000009
2018-10-26,sh.600375,3.5800000000,3.6900000000,3.5500000000,3.6400000000,3.5700000000,4197002,15210685.0000,2,0.755209,1,1.960789,0,3.511000000000016,0.6346935000000008
2018-10-29,sh.600375,3.6400000000,3.6400000000,3.5000000000,3.5600000000,3.6400000000,3459401,12315722.0000,2,0.6224850000000001,1,-2.197807,0,3.511000000000016,0.6531325000000009
2018-10-30,sh.600375,3.5500000000,3.6200000000,3.4900000000,3.6100000000,3.5600000000,5083838,18077807.0000,2,0.9147860000000001,1,1.404493,0,3.5280000000000165,0.7031709000000009
2018-10-31,sh.600375,3.5800000000,3.6700000000,3.5500000000,3.6500000000,3.6100000000,6759918,24418207.0000,2,1.21638,1,1.108039,0,3.547000000000016,0.787060700000001
