,stockName,nTrading,finalCapital,onHold
226,000676.SZ,0,10000.0,0
227,000677.SZ,0,10000.0,0
228,000678.SZ,0,10000.0,0
229,000679.SZ,0,10000.0,0
230,000680.SZ,0,10000.0,0
231,000681.SZ,0,10000.0,0
232,000682.SZ,0,10000.0,0
233,000683.SZ,0,10000.0,0
234,000685.SZ,0,10000.0,0
235,000686.SZ,0,10000.0,0
236,000687.SZ,0,10000.0,0
237,000688.SZ,0,10000.0,0
238,000690.SZ,0,10000.0,0
239,000691.SZ,0,10000.0,0
240,000692.SZ,0,10000.0,0
241,000695.SZ,0,10000.0,0
242,000697.SZ,0,10000.0,0
243,000698.SZ,0,10000.0,0
244,000700.SZ,0,10000.0,0
245,000701.SZ,0,10000.0,0
246,000702.SZ,0,10000.0,0
247,000703.SZ,0,9021.143304620204,1
248,000705.SZ,0,10000.0,0
249,000707.SZ,0,10000.0,0
250,000708.SZ,0,10000.0,0
251,000709.SZ,0,10000.0,0
252,000710.SZ,0,10000.0,0
253,000711.SZ,0,10000.0,0
254,000712.SZ,0,10000.0,0
255,000713.SZ,0,10000.0,0
256,000715.SZ,0,10000.0,0
257,000716.SZ,0,10000.0,0
258,000717.SZ,1,11184.022824536378,0
259,000718.SZ,0,10000.0,0
260,000719.SZ,0,10000.0,0
261,000720.SZ,0,10000.0,0
262,000721.SZ,0,10000.0,0
263,000722.SZ,0,10000.0,0
264,000723.SZ,0,10000.0,0
265,000725.SZ,1,8329.048037125298,1
266,000726.SZ,0,10000.0,0
267,000727.SZ,0,10000.0,0
268,000728.SZ,0,10000.0,0
269,000729.SZ,0,10000.0,0
270,000731.SZ,0,10000.0,0
271,000732.SZ,0,4339.213865676262,1
272,000733.SZ,0,10000.0,0
273,000735.SZ,2,9170.540689177335,1
274,000736.SZ,0,10000.0,0
275,000737.SZ,0,10000.0,0
276,000738.SZ,0,10000.0,0
277,000739.SZ,0,10000.0,0
278,000750.SZ,0,10455.635491606716,1
279,000751.SZ,0,10000.0,0
280,000752.SZ,0,10000.0,0
281,000753.SZ,0,10000.0,0
282,000755.SZ,0,10000.0,0
283,000756.SZ,0,10000.0,0
284,000757.SZ,0,10000.0,0
285,000758.SZ,0,10000.0,0
286,000759.SZ,0,10000.0,0
287,000760.SZ,0,10000.0,0
288,000761.SZ,0,10000.0,0
289,000762.SZ,0,10000.0,0
290,000766.SZ,0,10000.0,0
291,000767.SZ,0,10000.0,0
292,000768.SZ,0,10000.0,0
293,000776.SZ,0,7846.534653465347,1
294,000777.SZ,0,10000.0,0
295,000778.SZ,0,10000.0,0
296,000779.SZ,0,10000.0,0
297,000780.SZ,0,10000.0,0
298,000782.SZ,0,10000.0,0
299,000783.SZ,0,10000.0,0
300,000785.SZ,0,10000.0,0
301,000786.SZ,1,11070.422535211266,0
302,000788.SZ,0,10000.0,0
303,000789.SZ,2,12533.317562082606,0
304,000790.SZ,0,10000.0,0
305,000791.SZ,0,10000.0,0
306,000792.SZ,1,11084.615384615385,0
307,000793.SZ,1,11581.9209039548,0
308,000795.SZ,0,10000.0,0
309,000796.SZ,0,10000.0,0
310,000797.SZ,0,10000.0,0
311,000798.SZ,0,10000.0,0
312,000799.SZ,0,10000.0,0
313,000800.SZ,0,10000.0,0
314,000801.SZ,0,10000.0,0
315,000802.SZ,0,10000.0,0
316,000803.SZ,0,10000.0,0
317,000806.SZ,0,10000.0,0
318,000807.SZ,0,4389.140271493213,1
319,000809.SZ,0,10000.0,0
320,000810.SZ,0,10000.0,0
321,000811.SZ,0,10000.0,0
322,000812.SZ,0,10000.0,0
323,000813.SZ,0,10000.0,0
324,000815.SZ,0,10000.0,0
325,000816.SZ,0,10000.0,0
326,000818.SZ,0,10000.0,0
327,000819.SZ,0,10000.0,0
328,000820.SZ,1,11121.951219512197,0
329,000821.SZ,0,10000.0,0
330,000822.SZ,0,10000.0,0
331,000823.SZ,0,10000.0,0
332,000825.SZ,0,7540.983606557376,1
333,000826.SZ,0,10000.0,0
334,000828.SZ,0,10000.0,0
335,000829.SZ,0,10000.0,0
336,000830.SZ,2,7095.402940742698,1
337,000831.SZ,0,10000.0,0
338,000833.SZ,0,10000.0,0
339,000835.SZ,0,10000.0,0
340,000836.SZ,0,10000.0,0
341,000837.SZ,0,10000.0,0
342,000838.SZ,0,10000.0,0
343,000839.SZ,0,10000.0,0
344,000848.SZ,0,10000.0,0
345,000850.SZ,0,10000.0,0
346,000851.SZ,0,10000.0,0
347,000852.SZ,0,10000.0,0
348,000856.SZ,0,10000.0,0
349,000858.SZ,3,14224.207255055217,0
350,000859.SZ,0,10000.0,0
351,000860.SZ,1,11247.716001044115,0
352,000861.SZ,0,10000.0,0
353,000862.SZ,0,10000.0,0
354,000863.SZ,0,10000.0,0
355,000868.SZ,0,10000.0,0
356,000869.SZ,0,10000.0,0
357,000875.SZ,0,10000.0,0
358,000876.SZ,0,10000.0,0
359,000877.SZ,0,10000.0,0
360,000878.SZ,0,10000.0,0
361,000880.SZ,0,10000.0,0
362,000881.SZ,0,10000.0,0
363,000882.SZ,0,10000.0,0
364,000883.SZ,0,10000.0,0
365,000885.SZ,0,10000.0,0
366,000886.SZ,1,11008.264462809919,0
367,000887.SZ,0,10000.0,0
368,000888.SZ,0,10000.0,0
369,000889.SZ,0,10000.0,0
370,000890.SZ,0,10000.0,0
371,000892.SZ,0,10000.0,0
372,000893.SZ,0,10000.0,0
373,000895.SZ,0,10000.0,0
374,000897.SZ,0,10000.0,0
375,000898.SZ,0,10000.0,0
376,000899.SZ,0,10000.0,0
377,000900.SZ,0,10000.0,0
378,000901.SZ,0,10000.0,0
379,000902.SZ,0,10000.0,0
380,000903.SZ,0,10000.0,0
381,000905.SZ,0,10000.0,0
382,000906.SZ,0,10000.0,0
383,000908.SZ,0,10000.0,0
384,000909.SZ,0,10000.0,0
385,000910.SZ,0,10000.0,0
386,000911.SZ,0,10000.0,0
387,000913.SZ,0,10000.0,0
388,000915.SZ,0,10000.0,0
389,000917.SZ,0,10000.0,0
390,000918.SZ,0,10000.0,0
391,000919.SZ,0,10000.0,0
